true_grade,vessel_density_mean,vessel_density_median,ma_count_mean,ma_count_median,hem_count_mean,hem_count_median,hard_exudate_count_mean,hard_exudate_count_median,soft_exudate_count_mean,soft_exudate_count_median,fovea_distance_dd_mean,fovea_distance_dd_median,nv_detected_mean,nv_detected_median
0,0.12050786224039767,0.11706088144997603,3.4,2.0,8.2,3.0,2.8,4.0,1.4,0.0,2.710015534812604,4.505365945873674,0.0,0.0
1,0.07435146891884824,0.07029271622026752,16.2,14.0,24.2,27.0,12.6,12.0,0.0,0.0,2.5358305724086554,1.4930654607149314,0.0,0.0
2,0.15496186292332972,0.11837726177269424,8.0,7.0,28.8,23.0,10.2,6.0,0.0,0.0,2.023845492667175,2.47476491038597,0.2,0.0
3,0.19199376296191278,0.24220935594609827,11.2,10.0,16.4,12.0,12.8,7.0,0.0,0.0,3.590775919573544,3.8292257271586547,0.0,0.0
4,0.15525251491070602,0.16285581258889337,17.6,11.0,28.2,34.0,15.4,9.0,0.0,0.0,2.9197064729423765,2.8578162538833554,0.0,0.0
