grade,support,sensitivity_recall,specificity,precision,f1
0,361,0.9972299166212659,0.9973118276888946,0.9972299166212659,0.9972298666212683
1,74,0.6351351342768444,0.9742033382436718,0.7343749988525391,0.681159369565221
2,200,0.71999999964,0.9212007502962101,0.7741935479708637,0.746113939316495
3,39,0.5897435882314267,0.9221902015962262,0.29870129831337494,0.39655167881986236
4,59,0.5932203379775927,0.9851632046016079,0.7777777760493827,0.673076872688613
