grade,support,sensitivityGrade,specificityGrade,precisionGrade,f1Grade
0,361,0.997229916897507,0.997311827956989,0.997229916897507,0.997229916897507
1,74,0.594594594594595,0.975720789074355,0.733333333333333,0.656716417910448
2,200,0.69,0.917448405253283,0.758241758241758,0.722513089005236
3,39,0.564102564102564,0.909221902017291,0.258823529411765,0.354838709677419
4,59,0.593220338983051,0.985163204747775,0.777777777777778,0.673076923076923
