grade,support,sensitivityGrade,specificityGrade,precisionGrade,f1Grade
0,14,1,1,1,1
1,1,1,1,1,1
2,3,0.666666666666667,0.909090909090909,0.5,0.571428571428572
3,3,0.333333333333333,0.954545454545455,0.5,0.4
4,4,1,1,1,1
