variant,GroupCount,mean_inputMeanAbsDifference,max_inputMeanAbsDifference,mean_inputMaxAbsDifference,max_inputMaxAbsDifference,mean_scoreAbsDifference,max_scoreAbsDifference,mean_maxProbabilityAbsDifference,max_maxProbabilityAbsDifference,mean_referableHeadAbsDifference,max_referableHeadAbsDifference,grade_match_rate
box_symmetric_uint8,18,0.0253416782555481,0.0468302667140961,1.11930994855033,2.65433692932129,0.0620281545980744,0.177047915742465,0.0431042865698783,0.135550035148161,0.0642041729668307,0.249553344093933,0.722222222222222
bicubic_symmetric_uint8,18,0.014712387851129,0.0193265769630671,0.474411659770542,0.821988224983215,0.0621466049581719,0.191222970108047,0.0463165982938311,0.172133443552598,0.0626676101821322,0.280914380273183,0.888888888888889
bicubic_replicate_uint8,18,0.0230368886970811,0.0335772074759007,2.57129540046056,4.36681222915649,0.0690913591336855,0.262166107077047,0.0481323579731875,0.186551488265225,0.0661417596281795,0.299015095913019,0.944444444444444
box_replicate_uint8,18,0.0331794461235404,0.0598458349704742,2.53082795275582,4.36681222915649,0.0695495478999245,0.189469686818569,0.0458315481539143,0.14039054921931,0.0606062342870896,0.261013871764723,0.722222222222222
bilinear_symmetric_uint8,18,0.0176918530940182,0.0228482875972986,0.504307799869113,0.836601495742798,0.0775901085782496,0.23204916002658,0.0549278354366181,0.189351131117149,0.0735256050107401,0.294074525745578,0.888888888888889
bilinear_replicate_uint8,18,0.0258852735989624,0.0368997529149055,2.49406408932474,4.36681222915649,0.0799030334949127,0.225404220873392,0.0571817181287935,0.183248638218324,0.0749319835048826,0.287001408296124,0.833333333333333
bicubic_replicate_float,18,0.0353082224933638,0.0453247465193272,2.57294367750486,4.36681222915649,0.106640766087837,0.335382339296526,0.0703942829387217,0.201376043367915,0.0769917267493607,0.181990367664859,0.833333333333333
bicubic_symmetric_float,18,0.0274282921519544,0.0314346067607403,0.47655619515313,0.815107583999634,0.110055140172278,0.292973932382406,0.0708301122415224,0.181444775915924,0.0827789362798242,0.202164618991782,0.722222222222222
bilinear_replicate_float,18,0.0375304263499048,0.0480240695178509,2.49811144338714,4.36681222915649,0.115344566165956,0.365164059578417,0.0755511733690484,0.214197688493682,0.0887489473490951,0.226489361213765,0.722222222222222
bilinear_symmetric_float,18,0.029757945280936,0.0343127995729446,0.510860277546777,0.854313373565674,0.119554080266434,0.412239567071586,0.0746770015189405,0.179583905721348,0.0925908794258088,0.276741506355668,0.722222222222222
box_symmetric_float,18,0.0322777244986759,0.0486555695533752,1.11862273514271,2.64536690711975,0.142695840778685,0.502886924523368,0.0816585994561904,0.166947414834451,0.110774808025816,0.262675097448919,0.555555555555556
box_replicate_float,18,0.0398702883265085,0.0615789704024792,2.52806275420719,4.36681222915649,0.151423354004134,0.445801146383628,0.0856136734813672,0.168768628027226,0.113530760574566,0.240369497486711,0.5
